2	「นายท่าน~」
4	「――อึ่บ」
5	「เช้าแล้วนะ นี่ไง ดวงอาทิตย์ก็ขึ้นสูงแล้ว」
6	「อ้อ โอ๋……ขอบใจที่ปลุกนะ」
7	「แต่ขอแบบนุ่มนวลกว่านี้หน่อยเถอะ……」
8	แรงกระแทกตอนตื่นที่ไม่ได้เจอมานาน
9	สะเทือนถึงเครื่องในเลย……เนี่ย
10	「ไม่ได้ปลุกนายท่านมานานแล้วนะ」
11	「ก็จริง นานๆ ทีนึกว่าเครื่องในจะแหลกซะแล้ว」
12	「เป็นอะไรไป? เรื่องเทพคำสาปจบไปช่วงหนึ่งแล้ว เลยเผลอวางใจไปเหรอ?」
13	「เออ ก็มีส่วน……แต่เมื่อคืนนอนไม่ค่อยหลับ กลิ้งไปกลิ้งมาอยู่ในผ้านวมตลอดน่ะ」
14	「อืม……เมื่อคืนข้าว่าก็ไม่มีอะไรเป็นพิเศษนะ เกิดอะไรขึ้นเหรอ? หรือว่า……」
15	「เปล่า มันไม่เกี่ยวอะไรกับคำสาปเลย ไม่ต้องห่วง」
16	「งั้นเหรอ ถ้างั้นก็ดี」
17	「เอิ๊ก」
18	มุราซาเมะจังกระโดดถอยออกไป ผมเลยค่อยๆ ลุกขึ้น
19	「ว่าแต่เป็นอะไรไป? อาจเพราะฝึกซ้อม ปกตินายท่านพอเข้าผ้านวมก็หลับปุ๋ยทันทีไม่ใช่เหรอ?」
20	「เออ ก็จริงอยู่」
21	「เมื่อวานมันพิเศษนิดหน่อยน่ะ」
22	「โฮ่ๆ……พิเศษงั้นเหรอ?」
23	ไม่สิ ที่พิเศษคือวันนี้รึเปล่า……?
24	ไม่นึกเลยว่าจะตื่นเต้นกับข้าวกล่องจนนอนไม่หลับ……แต่ก็มันตั้งตารออยู่นี่นา ช่วยไม่ได้
25	ข้าวกล่องจะเป็นยังไงนะ? เมื่อวานก็อร่อยอยู่แล้ว พอตั้งใจทำเต็มที่ คราวนี้จะออกมาแบบไหน……
26	เพราะมัวแต่คิดเรื่องนั้น เลยกลายเป็นแบบนี้
27	……เมื่อไหร่จะถึงเที่ยงนะ
28	「หน้ายิ้มแย้มเชียวนะ นายท่าน」
29	「อุ๊ย」
30	「หน้าตาทะเล้นแบบนั้น……สงสัยเรื่องผู้หญิงสินะ?」
31	「……ความลับ」
32	「นั่นมันก็เท่ากับยอมรับนั่นแหละ」
33	「เอาเถอะ ว่าแต่นายท่าน รีบเตรียมตัวเถอะ ไม่งั้นเดี๋ยวโดนเก็นจูโรด่าเอา」
34	「อุ๊ย จริงด้วย」
35	ผมรีบเปลี่ยนชุด
36	「นายท่าน ข้าออกไปก่อนนะ เดี๋ยวตามไปสมทบ ไม่ต้องห่วง」
37	「อะไรเหรอ? จะไปไหนเหรอ?」
38	「นิดหน่อยน่ะ ข้าจะไปเช็กสภาพร่างสถิต ไปก่อนนะ」
39	「เช็กสภาพร่างสถิต……」
40	「เดี๋ เดี๋ยวก่อน! ผมไปด้วย!」
41	แล้วผมก็ไปเช็กร่างสถิตที่ประดิษฐานไว้พร้อมกับมุราซาเมะจัง
42	「……ดูไม่มีอะไรเปลี่ยนเป็นพิเศษนะ」
43	ทั้งรูปลักษณ์ภายนอก แล้วก็ต่อให้เพ่งสมาธิแบบนี้ ก็ไม่รู้สึกถึงลางร้ายน่าขนลุกแบบเมื่อก่อนเลย
44	「ก็บอกแล้วไง ข้าแค่มาเช็กเผื่อไว้ ไม่ใช่ว่ามีอะไรเปลี่ยนแปลง」
45	「ผมไม่ได้สงสัยหรอกนะ แต่พอเธอพูดแบบนั้นมันก็ติดใจน่ะ」
46	「ยาสุฮารุก็สวดบทขับขานอย่างดีอยู่」
47	「โยชิโนะเองก็ยังรำถวายต่อเนื่อง เพราะงั้นไม่น่าจะเกิดเรื่องร้ายแรงอะไรหรอก」
48	「นี่ ถึงจะประดิษฐานไว้ แต่ดวงวิญญาณอินุงามิที่ผนึกไว้ข้างในก็ไม่ได้หายไปใช่ไหม……」
49	「นั่นก็แปลว่า……ถ้าทำให้มันโกรธ มันก็จะกลับไปเป็นเหมือนเมื่อก่อนอีกเหรอ?」
50	「อย่างเช่น ถ้าเกิดอุบัติเหตุจนคุณยาสุฮารุสวดบทขับขานไม่ได้……」
51	「นั่นสินะ……ข้าไม่คิดว่าแค่หยุดวันเดียวจะกลับไปเป็นแบบนั้น」
52	「แต่ถ้าปล่อยทิ้งไว้นานๆ ก็มีอันตรายแบบนั้นได้อยู่」
53	「นั่นไง」
54	「ถึงอย่างนั้น มันก็ไม่ได้เป็นแบบนี้ไปชั่วนิรันดร์ ตอนนี้กำลังค่อยๆ ชำระมลทินออกไปทีละน้อย」
55	「พอชำระเสร็จ อินุงามิก็จะกลายเป็นผู้รับใช้ของเทพแห่งดินแดนนี้ได้」
56	「พอถึงตอนนั้น คำสาปก็จะไม่เกิดขึ้นอีกใช่ไหม?」
57	「ถ้าทำอะไรให้มันโกรธ คราวนี้ก็อาจโดนกรรมสนองได้อยู่ แต่นั่นมันคนละเรื่องกับคำสาปนะ」
58	「มันจะไม่ก่อให้เกิดเทพคำสาปแบบเมื่อก่อนแล้วล่ะ」
59	คำสาปกับกรรมสนอง……สินะ
60	รู้สึกเหมือนไม่ต่างกันเท่าไหร่ แต่ในเมื่อมุราซาเมะจังพูดแบบนั้น ก็คงมีความต่างที่ชัดเจนอยู่
61	「แถมยังเร็วกว่าที่คิดด้วย ไม่ใช่เรื่องที่ต้องใช้เวลาหลายสิบปีหรอกนะ」
62	「งั้นเหรอ? ถ้างั้นก็ดี」
63	「งั้น คุณอาริจิ คือ……นี่ข้าวกล่องของวันนี้ค่ะ」
64	「อ๊ะ ขอบคุณนะ……」
65	ผมรับกล่องข้าวที่เธอยื่นให้ด้วยท่าทางเก้ๆ กังๆ
66	ข้าวกล่องฝีมือคุณโทโมทาเกะ……ชักประหม่าแฮะ
67	「วันนี้ทำไข่ม้วนไม่หวานเรียบร้อยแล้วนะคะ」
68	「มั่นใจไหม?」
69	「มี มีสิคะ」
70	「ไ ไม่เป็นไร……น่าจะ……น่าจะทำได้ถูกแล้ว……ทำได้ใช่ไหม มาโกะ」
71	「วางใจได้ค่ะ ไม่มีปัญหาอะไรเลย」
72	「โฮ่ วันนี้ก็ฝีมือโยชิโนะอีกแล้วเหรอ」
73	「ข้าวกล่องเมื่อวาน ดูเหมือนท่านโยชิโนะเองจะไม่พอใจน่ะค่ะ」
74	「ทำออกมาแย่เหรอ?」
75	「เปล่า ข้าวกล่องเมื่อวานก็อร่อยพอตัวเลยนะ」
